    µm         	nm
   0.000	-599.058
   0.039	-601.264
   0.078	-608.647
   0.117	-612.290
   0.157	-610.208
   0.196	-600.446
   0.235	-596.382
   0.274	-598.910
   0.313	-599.678
   0.352	-599.925
   0.391	-594.425
   0.431	-588.082
   0.470	-585.728
   0.509	-579.087
   0.548	-570.192
   0.587	-564.964
   0.626	-560.900
   0.665	-562.858
   0.705	-564.493
   0.744	-557.877
   0.783	-557.803
   0.822	-562.040
   0.861	-562.833
   0.900	-557.902
   0.939	-554.136
   0.978	-548.908
   1.018	-542.862
   1.057	-545.959
   1.096	-544.175
   1.135	-537.262
   1.174	-535.181
   1.213	-532.281
   1.252	-524.774
   1.292	-516.721
   1.331	-508.941
   1.370	-502.870
   1.409	-500.516
   1.448	-490.456
   1.487	-483.246
   1.526	-467.760
   1.566	-454.280
   1.605	-445.930
   1.644	-429.577
   1.683	-415.230
   1.722	-407.450
   1.761	-396.820
   1.800	-381.334
   1.840	-361.264
   1.879	-344.043
   1.918	-329.424
   1.957	-313.938
   1.996	-297.609
   2.035	-283.535
   2.074	-270.031
   2.114	-251.993
   2.153	-228.775
   2.192	-209.027
   2.231	-194.086
   2.270	-174.586
   2.309	-149.957
   2.348	-131.621
   2.388	-116.432
   2.427	 -98.641
   2.466	 -82.858
   2.505	 -64.225
   2.544	 -45.319
   2.583	 -31.245
   2.622	 -16.601
   2.662	  -8.276
   2.701	  15.238
   2.740	  39.001
   2.779	  53.644
   2.818	  64.249
   2.857	  79.463
   2.896	  92.670
   2.935	 107.016
   2.975	 129.936
   3.014	 144.877
   3.053	 153.772
   3.092	 167.846
   3.131	 181.350
   3.170	 195.672
   3.209	 212.893
   3.249	 226.099
   3.288	 238.142
   3.327	 252.216
   3.366	 254.000
   3.405	 257.468
   3.444	 263.242
   3.483	 274.739
   3.523	 281.082
   3.562	 284.576
   3.601	 288.664
   3.640	 292.728
   3.679	 295.329
   3.718	 296.543
   3.757	 304.324
   3.797	 310.964
   3.836	 307.322
   3.875	 301.945
   3.914	 300.582
   3.953	 302.366
   3.992	 298.402
   4.031	 294.189
   4.071	 292.257
   4.110	 281.156
   4.149	 272.682
   4.188	 264.159
   4.227	 259.352
   4.266	 250.853
   4.305	 244.064
   4.345	 235.837
   4.384	 220.202
   4.423	 208.532
   4.462	 193.442
   4.501	 181.524
   4.540	 165.839
   4.579	 157.613
   4.618	 150.551
   4.658	 142.622
   4.697	 137.245
   4.736	 134.173
   4.775	 124.782
   4.814	 110.014
   4.853	 102.358
   4.892	  97.279
   4.932	  90.217
   4.971	  80.256
   5.010	  71.485
   5.049	  63.828
   5.088	  62.713
   5.127	  59.368
   5.166	  48.862
