    µm         	µm
   0.000	  -0.156
   0.098	  -0.148
   0.195	  -0.149
   0.293	  -0.156
   0.391	  -0.163
   0.488	  -0.173
   0.586	  -0.188
   0.684	  -0.211
   0.781	  -0.228
   0.879	  -0.252
   0.977	  -0.294
   1.074	  -0.338
   1.172	  -0.378
   1.270	  -0.418
   1.367	  -0.445
   1.465	  -0.467
   1.562	  -0.492
   1.660	  -0.519
   1.758	  -0.546
   1.855	  -0.565
   1.953	  -0.585
   2.051	  -0.600
   2.148	  -0.617
   2.246	  -0.629
   2.344	  -0.639
   2.441	  -0.651
   2.539	  -0.655
   2.637	  -0.662
   2.734	  -0.663
   2.832	  -0.655
   2.930	  -0.650
   3.027	  -0.649
   3.125	  -0.639
   3.223	  -0.626
   3.320	  -0.601
   3.418	  -0.574
   3.516	  -0.546
   3.613	  -0.516
   3.711	  -0.480
   3.809	  -0.434
   3.906	  -0.391
   4.004	  -0.352
   4.102	  -0.317
   4.199	  -0.272
   4.297	  -0.225
   4.395	  -0.174
   4.492	  -0.140
   4.590	  -0.098
   4.687	  -0.060
   4.785	  -0.020
   4.883	   0.015
   4.980	   0.054
   5.078	   0.088
   5.176	   0.117
   5.273	   0.147
   5.371	   0.174
   5.469	   0.188
   5.566	   0.206
   5.664	   0.229
   5.762	   0.247
   5.859	   0.252
   5.957	   0.267
   6.055	   0.280
   6.152	   0.303
   6.250	   0.326
   6.348	   0.342
   6.445	   0.363
   6.543	   0.378
   6.641	   0.399
   6.738	   0.418
   6.836	   0.433
   6.934	   0.441
   7.031	   0.454
   7.129	   0.465
   7.227	   0.478
   7.324	   0.488
   7.422	   0.492
   7.520	   0.494
   7.617	   0.503
   7.715	   0.506
   7.812	   0.498
   7.910	   0.499
   8.008	   0.485
   8.105	   0.455
   8.203	   0.410
   8.301	   0.354
   8.398	   0.290
   8.496	   0.199
   8.594	   0.120
   8.691	   0.031
   8.789	  -0.049
   8.887	  -0.120
   8.984	  -0.183
   9.082	  -0.231
   9.180	  -0.284
   9.277	  -0.318
   9.375	  -0.355
   9.473	  -0.384
   9.570	  -0.419
   9.668	  -0.436
   9.766	  -0.465
   9.863	  -0.482
   9.961	  -0.502
  10.059	  -0.524
  10.156	  -0.538
  10.254	  -0.543
  10.352	  -0.542
  10.449	  -0.533
  10.547	  -0.520
  10.645	  -0.506
  10.742	  -0.482
  10.840	  -0.448
  10.937	  -0.395
  11.035	  -0.341
  11.133	  -0.292
  11.230	  -0.226
  11.328	  -0.159
  11.426	  -0.087
  11.523	   0.000
  11.621	   0.095
  11.719	   0.179
  11.816	   0.269
  11.914	   0.366
  12.012	   0.452
  12.109	   0.541
  12.207	   0.631
  12.305	   0.717
  12.402	   0.796
  12.500	   0.876
  12.598	   0.952
  12.695	   1.024
  12.793	   1.069
  12.891	   1.106
  12.988	   1.142
  13.086	   1.174
  13.184	   1.179
  13.281	   1.172
  13.379	   1.176
  13.477	   1.175
  13.574	   1.154
  13.672	   1.126
  13.770	   1.105
  13.867	   1.084
  13.965	   1.060
  14.062	   1.037
  14.160	   1.019
  14.258	   1.002
  14.355	   0.988
  14.453	   0.971
  14.551	   0.955
  14.648	   0.940
  14.746	   0.930
  14.844	   0.921
  14.941	   0.913
  15.039	   0.904
  15.137	   0.890
  15.234	   0.878
  15.332	   0.867
  15.430	   0.860
  15.527	   0.858
  15.625	   0.844
  15.723	   0.826
  15.820	   0.818
  15.918	   0.792
  16.016	   0.763
  16.113	   0.728
  16.211	   0.687
  16.309	   0.643
  16.406	   0.596
  16.504	   0.564
  16.602	   0.531
  16.699	   0.499
  16.797	   0.466
  16.895	   0.433
  16.992	   0.414
  17.090	   0.392
  17.187	   0.376
  17.285	   0.358
  17.383	   0.335
  17.480	   0.316
  17.578	   0.296
  17.676	   0.269
  17.773	   0.240
  17.871	   0.220
  17.969	   0.191
  18.066	   0.156
  18.164	   0.110
  18.262	   0.040
  18.359	  -0.047
  18.457	  -0.140
  18.555	  -0.241
  18.652	  -0.315
  18.750	  -0.392
  18.848	  -0.461
  18.945	  -0.536
  19.043	  -0.585
  19.141	  -0.632
  19.238	  -0.666
  19.336	  -0.694
  19.434	  -0.735
  19.531	  -0.767
  19.629	  -0.793
  19.727	  -0.820
  19.824	  -0.849
  19.922	  -0.864
  20.020	  -0.879
  20.117	  -0.890
  20.215	  -0.904
  20.313	  -0.924
  20.410	  -0.933
  20.508	  -0.928
  20.605	  -0.932
  20.703	  -0.934
  20.801	  -0.931
  20.898	  -0.924
  20.996	  -0.926
  21.094	  -0.917
  21.191	  -0.903
  21.289	  -0.892
  21.387	  -0.880
  21.484	  -0.874
  21.582	  -0.865
  21.680	  -0.859
  21.777	  -0.851
  21.875	  -0.847
  21.973	  -0.844
  22.070	  -0.835
  22.168	  -0.823
  22.266	  -0.816
  22.363	  -0.809
  22.461	  -0.794
  22.559	  -0.786
  22.656	  -0.788
  22.754	  -0.779
  22.852	  -0.762
  22.949	  -0.747
  23.047	  -0.734
  23.145	  -0.708
  23.242	  -0.687
  23.340	  -0.653
  23.438	  -0.625
  23.535	  -0.602
  23.633	  -0.564
  23.730	  -0.525
  23.828	  -0.488
  23.926	  -0.432
  24.023	  -0.383
  24.121	  -0.331
  24.219	  -0.288
  24.316	  -0.238
  24.414	  -0.194
  24.512	  -0.153
  24.609	  -0.110
  24.707	  -0.071
  24.805	  -0.036
  24.902	   0.003
  25.000	   0.049
  25.098	   0.075
  25.195	   0.100
  25.293	   0.127
  25.391	   0.142
  25.488	   0.154
  25.586	   0.155
  25.684	   0.162
  25.781	   0.157
  25.879	   0.145
  25.977	   0.119
  26.074	   0.108
  26.172	   0.093
  26.270	   0.068
  26.367	   0.054
